id_progreso_modulo,id_inscripcion,id_modulo,estado_modulo,porcentaje_avance_modulo,fecha_actualizacion
143,28,20,no_iniciado,0,2026-08-20
144,29,13,no_iniciado,0,2026-08-12
145,29,14,no_iniciado,0,2026-08-12
146,29,15,no_iniciado,0,2026-08-12
147,29,16,no_iniciado,0,2026-08-12
148,30,13,completado,95,2026-09-10
149,30,14,no_iniciado,0,2026-08-22
150,30,15,en_progreso,10,2026-09-09
151,30,16,en_progreso,10,2026-09-09
152,31,5,en_progreso,10,2026-09-09
153,31,6,en_progreso,10,2026-09-08
154,31,7,no_iniciado,0,2026-05-31
155,31,8,en_progreso,10,2026-09-10
156,32,56,no_iniciado,0,2026-08-06
157,32,57,en_progreso,10,2026-09-09
158,32,58,no_iniciado,0,2026-08-06
159,32,59,en_progreso,10,2026-09-07
160,32,60,no_iniciado,0,2026-08-06
161,33,32,en_progreso,10,2026-09-10
162,33,33,en_progreso,26.61,2026-09-10
163,33,34,en_progreso,10,2026-09-10
164,33,35,completado,95,2026-09-10
165,33,36,en_progreso,22.06,2026-09-10
166,33,37,no_iniciado,0,2026-07-13
167,34,38,no_iniciado,0,2026-05-17
168,34,39,no_iniciado,0,2026-05-17
169,34,40,completado,100,2026-09-10
170,34,41,no_iniciado,0,2026-05-17
171,34,42,no_iniciado,0,2026-05-17
172,34,43,en_progreso,24.65,2026-09-09
173,35,9,no_iniciado,0,2026-05-27
174,35,10,en_progreso,10,2026-09-10
175,35,11,no_iniciado,0,2026-05-27
176,35,12,no_iniciado,0,2026-05-27
177,36,32,no_iniciado,0,2026-06-03
178,36,33,en_progreso,10,2026-09-10
179,36,34,en_progreso,27.09,2026-09-10
180,36,35,en_progreso,10,2026-09-10
181,36,36,en_progreso,31.57,2026-09-08
182,36,37,en_progreso,10,2026-09-07
183,37,38,no_iniciado,0,2026-07-27
184,37,39,no_iniciado,0,2026-07-27
185,37,40,no_iniciado,0,2026-07-27
186,37,41,en_progreso,10,2026-09-08
187,37,42,en_progreso,34.77,2026-09-10
188,37,43,en_progreso,10,2026-09-07
189,38,9,en_progreso,20.84,2026-09-09
190,38,10,en_progreso,10,2026-09-07
191,38,11,no_iniciado,0,2026-06-06
192,38,12,no_iniciado,0,2026-06-06
193,39,38,completado,95,2026-09-09
194,39,39,no_iniciado,0,2026-05-23
195,39,40,no_iniciado,0,2026-05-23
196,39,41,completado,100,2026-09-10
197,39,42,no_iniciado,0,2026-05-23
198,39,43,no_iniciado,0,2026-05-23
199,40,44,no_iniciado,0,2026-06-06
200,40,45,no_iniciado,0,2026-06-06
201,40,46,en_progreso,10,2026-09-09
202,40,47,no_iniciado,0,2026-06-06
203,40,48,no_iniciado,0,2026-06-06
204,40,49,en_progreso,10,2026-09-10
205,41,13,no_iniciado,0,2026-06-05
206,41,14,en_progreso,24.91,2026-09-07
207,41,15,no_iniciado,0,2026-06-05
208,41,16,completado,95,2026-09-10
209,42,38,en_progreso,59.05,2026-09-10
210,42,39,en_progreso,10,2026-09-10
211,42,40,abandonado,34.53,2026-09-10
212,42,41,no_iniciado,0,2026-08-24
213,42,42,no_iniciado,0,2026-08-24
214,42,43,abandonado,95,2026-09-10
215,43,56,en_progreso,10,2026-09-09
216,43,57,no_iniciado,0,2026-05-20
217,43,58,no_iniciado,0,2026-05-20
218,43,59,no_iniciado,0,2026-05-20
219,43,60,no_iniciado,0,2026-05-20
220,44,13,en_progreso,54.34,2026-09-10
221,44,14,no_iniciado,0,2026-08-22
222,44,15,en_progreso,10,2026-09-08
223,44,16,en_progreso,10,2026-09-09
224,45,17,en_progreso,10,2026-09-08
225,45,18,en_progreso,24.52,2026-09-10
226,45,19,no_iniciado,0,2026-08-24
227,45,20,en_progreso,10,2026-09-10
228,46,50,no_iniciado,0,2026-07-13
229,46,51,no_iniciado,0,2026-07-13
230,46,52,en_progreso,10,2026-09-07
231,46,53,en_progreso,21.11,2026-09-10
232,46,54,no_iniciado,0,2026-07-13
233,46,55,en_progreso,10,2026-09-07
234,47,56,no_iniciado,0,2026-06-10
235,47,57,en_progreso,61.45,2026-09-10
236,47,58,no_iniciado,0,2026-06-10
237,47,59,no_iniciado,0,2026-06-10
238,47,60,en_progreso,10,2026-09-07
239,48,32,no_iniciado,0,2026-07-12
240,48,33,en_progreso,10,2026-09-07
241,48,34,en_progreso,10,2026-09-07
242,48,35,en_progreso,57.16,2026-09-09
243,48,36,no_iniciado,0,2026-07-12
244,48,37,no_iniciado,0,2026-07-12
245,49,38,en_progreso,10,2026-09-10
246,49,39,en_progreso,26.23,2026-09-10
247,49,40,en_progreso,10,2026-09-09
248,49,41,no_iniciado,0,2026-06-16
249,49,42,en_progreso,22.85,2026-09-08
250,49,43,en_progreso,10,2026-09-10
251,50,5,no_iniciado,0,2026-07-27
252,50,6,no_iniciado,0,2026-07-27
253,50,7,no_iniciado,0,2026-07-27
254,50,8,en_progreso,10,2026-09-10
255,51,13,no_iniciado,0,2026-08-28
256,51,14,en_progreso,10,2026-09-07
257,51,15,no_iniciado,0,2026-08-28
258,51,16,no_iniciado,0,2026-08-28
259,52,5,en_progreso,10,2026-09-08
260,52,6,no_iniciado,0,2026-06-02
261,52,7,en_progreso,10,2026-09-07
262,52,8,no_iniciado,0,2026-06-02
263,53,1,en_progreso,10,2026-09-07
264,53,2,en_progreso,10,2026-09-07
265,53,3,no_iniciado,0,2026-06-04
266,53,4,en_progreso,24.36,2026-09-10
267,54,44,no_iniciado,0,2026-05-03
268,54,45,en_progreso,10,2026-09-07
269,54,46,no_iniciado,0,2026-05-03
270,54,47,en_progreso,95,2026-09-10
271,54,48,no_iniciado,0,2026-05-03
272,54,49,en_progreso,10,2026-09-07
273,55,13,no_iniciado,0,2026-07-30
274,55,14,no_iniciado,0,2026-07-30
275,55,15,en_progreso,10,2026-09-08
276,55,16,en_progreso,10,2026-09-09
277,56,44,en_progreso,10,2026-09-07
278,56,45,no_iniciado,0,2026-08-19
279,56,46,en_progreso,10,2026-09-07
280,56,47,no_iniciado,0,2026-08-19
281,56,48,en_progreso,30.27,2026-09-09
282,56,49,completado,95,2026-09-10
283,57,56,en_progreso,25.12,2026-09-08
284,57,57,abandonado,10,2026-09-09
285,57,58,abandonado,91.07,2026-09-10
286,57,59,en_progreso,51.35,2026-09-10
287,57,60,en_progreso,10,2026-09-07
288,58,5,no_iniciado,0,2026-06-22
289,58,6,no_iniciado,0,2026-06-22
290,58,7,no_iniciado,0,2026-06-22
291,58,8,en_progreso,24.18,2026-09-10
292,59,50,en_progreso,10,2026-09-10
293,59,51,en_progreso,31.89,2026-09-08
294,59,52,no_iniciado,0,2026-06-25
295,59,53,no_iniciado,0,2026-06-25
296,59,54,en_progreso,52.26,2026-09-10
297,59,55,no_iniciado,0,2026-06-25
298,60,1,en_progreso,67.96,2026-09-10
299,60,2,en_progreso,33.29,2026-09-10
300,60,3,no_iniciado,0,2026-06-16
301,60,4,en_progreso,45.18,2026-09-10
302,61,13,completado,100,2026-09-10
303,61,14,en_progreso,55.12,2026-09-10
304,61,15,en_progreso,73.88,2026-09-10
305,61,16,no_iniciado,0,2026-05-08
306,62,1,no_iniciado,0,2026-06-05
307,62,2,en_progreso,10,2026-09-08
308,62,3,en_progreso,10,2026-09-10
309,62,4,completado,100,2026-09-09
310,63,5,no_iniciado,0,2026-04-18
311,63,6,no_iniciado,0,2026-04-18
312,63,7,en_progreso,10,2026-09-08
313,63,8,en_progreso,33.42,2026-09-10
314,64,38,no_iniciado,0,2026-06-04
315,64,39,no_iniciado,0,2026-06-04
316,64,40,no_iniciado,0,2026-06-04
317,64,41,en_progreso,10,2026-09-10
318,64,42,en_progreso,10,2026-09-07
319,64,43,no_iniciado,0,2026-06-04
320,65,17,no_iniciado,0,2026-08-26
321,65,18,no_iniciado,0,2026-08-26
322,65,19,no_iniciado,0,2026-08-26
323,65,20,en_progreso,56.59,2026-09-09
324,66,32,en_progreso,34.93,2026-09-10
325,66,33,no_iniciado,0,2026-04-25
326,66,34,no_iniciado,0,2026-04-25
327,66,35,en_progreso,10,2026-09-07
328,66,36,no_iniciado,0,2026-04-25
329,66,37,en_progreso,10,2026-09-07
330,67,13,en_progreso,10,2026-09-08
331,67,14,en_progreso,35.7,2026-09-09
332,67,15,no_iniciado,0,2026-06-16
333,67,16,en_progreso,29.62,2026-09-10
334,68,38,no_iniciado,0,2026-07-04
335,68,39,en_progreso,10,2026-09-08
336,68,40,en_progreso,31.24,2026-09-07
337,68,41,no_iniciado,0,2026-07-04
338,68,42,no_iniciado,0,2026-07-04
339,68,43,no_iniciado,0,2026-07-04
340,69,56,no_iniciado,0,2026-08-15
341,69,57,no_iniciado,0,2026-08-15
342,69,58,no_iniciado,0,2026-08-15
343,69,59,no_iniciado,0,2026-08-15
344,69,60,completado,95,2026-09-10
345,70,44,no_iniciado,0,2026-05-29
346,70,45,en_progreso,10,2026-09-09
347,70,46,no_iniciado,0,2026-05-29
348,70,47,en_progreso,41.3,2026-09-10
349,70,48,no_iniciado,0,2026-05-29
350,70,49,en_progreso,32.9,2026-09-10
351,71,32,en_progreso,89.12,2026-09-10
352,71,33,no_iniciado,0,2026-09-02
353,71,34,no_iniciado,0,2026-09-02
354,71,35,no_iniciado,0,2026-09-02
355,71,36,no_iniciado,0,2026-09-02
356,71,37,no_iniciado,0,2026-09-02
357,72,13,en_progreso,10,2026-09-07
358,72,14,no_iniciado,0,2026-07-12
359,72,15,no_iniciado,0,2026-07-12
360,72,16,en_progreso,10,2026-09-09
361,73,28,no_iniciado,0,2026-05-21
362,73,29,no_iniciado,0,2026-05-21
363,73,30,no_iniciado,0,2026-05-21
364,73,31,no_iniciado,0,2026-05-21
365,74,13,no_iniciado,0,2026-05-19
366,74,14,no_iniciado,0,2026-05-19
367,74,15,no_iniciado,0,2026-05-19
368,74,16,no_iniciado,0,2026-05-19
369,75,5,no_iniciado,0,2026-07-23
370,75,6,completado,95,2026-09-10
371,75,7,en_progreso,21.48,2026-09-10
372,75,8,no_iniciado,0,2026-07-23
373,76,28,en_progreso,10,2026-09-10
374,76,29,en_progreso,10,2026-09-08
375,76,30,en_progreso,30.11,2026-09-10
376,76,31,completado,95,2026-09-10
377,77,21,no_iniciado,0,2026-07-28
378,77,22,no_iniciado,0,2026-07-28
379,77,23,en_progreso,10,2026-09-07
380,77,24,en_progreso,10,2026-09-07
381,77,25,no_iniciado,0,2026-07-28
382,77,26,en_progreso,95,2026-09-10
383,77,27,completado,95,2026-09-10
384,78,56,en_progreso,10,2026-09-07
385,78,57,no_iniciado,0,2026-08-23
386,78,58,no_iniciado,0,2026-08-23
387,78,59,en_progreso,10,2026-09-07
388,78,60,no_iniciado,0,2026-08-23
389,79,32,no_iniciado,0,2026-06-01
390,79,33,no_iniciado,0,2026-06-01
391,79,34,no_iniciado,0,2026-06-01
392,79,35,no_iniciado,0,2026-06-01
393,79,36,no_iniciado,0,2026-06-01
394,79,37,no_iniciado,0,2026-06-01
395,80,1,no_iniciado,0,2026-05-06
396,80,2,no_iniciado,0,2026-05-06
397,80,3,en_progreso,31.92,2026-09-10
398,80,4,completado,100,2026-09-08
399,81,50,en_progreso,10,2026-09-08
400,81,51,no_iniciado,0,2026-05-01
401,81,52,no_iniciado,0,2026-05-01
402,81,53,en_progreso,10,2026-09-07
403,81,54,no_iniciado,0,2026-05-01
404,81,55,completado,100,2026-09-08
405,82,56,no_iniciado,0,2026-08-07
406,82,57,completado,100,2026-09-09
407,82,58,abandonado,78.01,2026-09-10
408,82,59,no_iniciado,0,2026-08-07
409,82,60,en_progreso,43.7,2026-09-10
410,83,5,no_iniciado,0,2026-08-31
411,83,6,no_iniciado,0,2026-08-31
412,83,7,completado,95,2026-09-08
413,83,8,no_iniciado,0,2026-08-31
414,84,28,en_progreso,10,2026-09-07
415,84,29,en_progreso,28.1,2026-09-10
416,84,30,no_iniciado,0,2026-08-01
417,84,31,no_iniciado,0,2026-08-01
418,85,21,en_progreso,10,2026-09-09
419,85,22,en_progreso,10,2026-09-07
420,85,23,en_progreso,10,2026-09-07
421,85,24,en_progreso,29.91,2026-09-09
422,85,25,en_progreso,28.4,2026-09-10
423,85,26,no_iniciado,0,2026-05-26
424,85,27,no_iniciado,0,2026-05-26
425,86,5,completado,100,2026-09-10
426,86,6,no_iniciado,0,2026-05-27
427,86,7,no_iniciado,0,2026-05-27
428,86,8,no_iniciado,0,2026-05-27
429,87,13,en_progreso,10,2026-09-08
430,87,14,no_iniciado,0,2026-04-19
431,87,15,no_iniciado,0,2026-04-19
432,87,16,no_iniciado,0,2026-04-19
433,88,13,en_progreso,25.43,2026-09-09
434,88,14,en_progreso,28.83,2026-09-10
435,88,15,no_iniciado,0,2026-08-18
436,88,16,en_progreso,10,2026-09-07
437,89,32,en_progreso,10,2026-09-08
438,89,33,no_iniciado,0,2026-07-22
439,89,34,en_progreso,10,2026-09-10
440,89,35,no_iniciado,0,2026-07-22
441,89,36,en_progreso,10,2026-09-10
442,89,37,no_iniciado,0,2026-07-22
443,90,9,en_progreso,33.65,2026-09-10
444,90,10,en_progreso,10,2026-09-10
445,90,11,no_iniciado,0,2026-05-23
446,90,12,no_iniciado,0,2026-05-23
447,91,28,en_progreso,10,2026-09-09
448,91,29,en_progreso,35.7,2026-09-10
449,91,30,en_progreso,10,2026-09-10
450,91,31,en_progreso,10,2026-09-07
451,92,17,en_progreso,10,2026-09-10
452,92,18,no_iniciado,0,2026-05-25
453,92,19,no_iniciado,0,2026-05-25
454,92,20,no_iniciado,0,2026-05-25
455,93,13,en_progreso,10,2026-09-09
456,93,14,no_iniciado,0,2026-04-20
457,93,15,en_progreso,47.11,2026-09-10
458,93,16,no_iniciado,0,2026-04-20
459,94,5,en_progreso,56.5,2026-09-10
460,94,6,no_iniciado,0,2026-04-29
461,94,7,no_iniciado,0,2026-04-29
462,94,8,no_iniciado,0,2026-04-29
463,95,38,no_iniciado,0,2026-06-29
464,95,39,no_iniciado,0,2026-06-29
465,95,40,en_progreso,21.76,2026-09-09
466,95,41,no_iniciado,0,2026-06-29
467,95,42,en_progreso,10,2026-09-08
468,95,43,en_progreso,10,2026-09-07
469,96,5,completado,95,2026-09-10
470,96,6,completado,95,2026-09-10
471,96,7,completado,100,2026-09-09
472,96,8,en_progreso,10,2026-09-08
473,97,50,no_iniciado,0,2026-08-27
474,97,51,en_progreso,65.95,2026-09-10
475,97,52,abandonado,10,2026-09-09
476,97,53,en_progreso,56.62,2026-09-10
477,97,54,no_iniciado,0,2026-08-27
478,97,55,en_progreso,10,2026-09-08
479,98,1,no_iniciado,0,2026-07-10
480,98,2,no_iniciado,0,2026-07-10
481,98,3,no_iniciado,0,2026-07-10
482,98,4,en_progreso,10,2026-09-08
483,99,5,no_iniciado,0,2026-04-29
484,99,6,no_iniciado,0,2026-04-29
485,99,7,no_iniciado,0,2026-04-29
486,99,8,no_iniciado,0,2026-04-29
487,100,13,en_progreso,10,2026-09-10
488,100,14,no_iniciado,0,2026-08-20
489,100,15,no_iniciado,0,2026-08-20
490,100,16,no_iniciado,0,2026-08-20
491,101,28,no_iniciado,0,2026-05-06
492,101,29,en_progreso,31.21,2026-09-09
493,101,30,no_iniciado,0,2026-05-06
494,101,31,no_iniciado,0,2026-05-06
495,102,32,en_progreso,10,2026-09-07
496,102,33,completado,100,2026-09-07
497,102,34,no_iniciado,0,2026-04-11
498,102,35,en_progreso,51.47,2026-09-09
499,102,36,no_iniciado,0,2026-04-11
500,102,37,en_progreso,10,2026-09-09
501,103,13,completado,100,2026-09-09
502,103,14,en_progreso,10,2026-09-10
503,103,15,en_progreso,10,2026-09-09
504,103,16,no_iniciado,0,2026-07-25
505,104,1,no_iniciado,0,2026-05-10
506,104,2,no_iniciado,0,2026-05-10
507,104,3,no_iniciado,0,2026-05-10
508,104,4,no_iniciado,0,2026-05-10
509,105,9,no_iniciado,0,2026-06-28
510,105,10,en_progreso,10,2026-09-08
511,105,11,en_progreso,10,2026-09-10
512,105,12,en_progreso,10,2026-09-07
513,106,1,no_iniciado,0,2026-08-14
514,106,2,en_progreso,10,2026-09-10
515,106,3,no_iniciado,0,2026-08-14
516,106,4,completado,100,2026-09-08
517,107,28,en_progreso,29.5,2026-09-09
518,107,29,en_progreso,78.27,2026-09-10
519,107,30,en_progreso,34.61,2026-09-09
520,107,31,no_iniciado,0,2026-07-11
521,108,32,no_iniciado,0,2026-07-11
522,108,33,en_progreso,10,2026-09-07
523,108,34,abandonado,34.71,2026-09-08
524,108,35,en_progreso,10,2026-09-09
525,108,36,no_iniciado,0,2026-07-11
526,108,37,completado,100,2026-09-09
527,109,17,no_iniciado,0,2026-08-14
528,109,18,en_progreso,10,2026-09-10
529,109,19,en_progreso,10,2026-09-09
530,109,20,en_progreso,10,2026-09-10
531,110,56,no_iniciado,0,2026-05-18
532,110,57,no_iniciado,0,2026-05-18
533,110,58,en_progreso,31.98,2026-09-10
534,110,59,no_iniciado,0,2026-05-18
535,110,60,no_iniciado,0,2026-05-18
536,111,38,en_progreso,10,2026-09-10
537,111,39,completado,95,2026-09-10
538,111,40,no_iniciado,0,2026-09-03
539,111,41,en_progreso,10,2026-09-09
540,111,42,en_progreso,10,2026-09-09
541,111,43,no_iniciado,0,2026-09-03
542,112,56,en_progreso,10,2026-09-08
543,112,57,completado,95,2026-09-10
544,112,58,no_iniciado,0,2026-06-04
545,112,59,no_iniciado,0,2026-06-04
546,112,60,no_iniciado,0,2026-06-04
547,113,32,en_progreso,28.19,2026-09-09
548,113,33,no_iniciado,0,2026-06-11
549,113,34,no_iniciado,0,2026-06-11
550,113,35,no_iniciado,0,2026-06-11
551,113,36,no_iniciado,0,2026-06-11
552,113,37,no_iniciado,0,2026-06-11
553,114,9,no_iniciado,0,2026-06-04
554,114,10,no_iniciado,0,2026-06-04
555,114,11,no_iniciado,0,2026-06-04
556,114,12,completado,95,2026-09-10
557,115,17,no_iniciado,0,2026-08-13
558,115,18,no_iniciado,0,2026-08-13
559,115,19,no_iniciado,0,2026-08-13
560,115,20,no_iniciado,0,2026-08-13
561,116,1,en_progreso,10,2026-09-08
562,116,2,no_iniciado,0,2026-04-21
563,116,3,en_progreso,10,2026-09-08
564,116,4,en_progreso,25.97,2026-09-09
565,117,56,no_iniciado,0,2026-04-27
566,117,57,no_iniciado,0,2026-04-27
567,117,58,completado,95,2026-09-10
568,117,59,no_iniciado,0,2026-04-27
569,117,60,en_progreso,10,2026-09-09
570,118,38,no_iniciado,0,2026-08-14
571,118,39,no_iniciado,0,2026-08-14
572,118,40,en_progreso,28.42,2026-09-07
573,118,41,en_progreso,29.2,2026-09-10
574,118,42,no_iniciado,0,2026-08-14
575,118,43,en_progreso,10,2026-09-09
576,119,1,no_iniciado,0,2026-07-30
577,119,2,completado,100,2026-09-10
578,119,3,no_iniciado,0,2026-07-30
579,119,4,no_iniciado,0,2026-07-30
580,120,21,no_iniciado,0,2026-05-25
581,120,22,no_iniciado,0,2026-05-25
582,120,23,en_progreso,10,2026-09-08
583,120,24,en_progreso,22.49,2026-09-09
584,120,25,no_iniciado,0,2026-05-25
585,120,26,en_progreso,10,2026-09-09
586,120,27,en_progreso,10,2026-09-07
587,121,1,no_iniciado,0,2026-07-22
588,121,2,no_iniciado,0,2026-07-22
589,121,3,no_iniciado,0,2026-07-22
590,121,4,no_iniciado,0,2026-07-22
591,122,50,en_progreso,10,2026-09-08
592,122,51,no_iniciado,0,2026-08-31
593,122,52,abandonado,10,2026-09-08
594,122,53,no_iniciado,0,2026-08-31
595,122,54,no_iniciado,0,2026-08-31
596,122,55,no_iniciado,0,2026-08-31
597,123,32,en_progreso,10,2026-09-08
598,123,33,no_iniciado,0,2026-08-28
599,123,34,no_iniciado,0,2026-08-28
600,123,35,no_iniciado,0,2026-08-28
601,123,36,no_iniciado,0,2026-08-28
602,123,37,no_iniciado,0,2026-08-28
603,124,38,no_iniciado,0,2026-04-17
604,124,39,en_progreso,23.67,2026-09-08
605,124,40,en_progreso,34.4,2026-09-10
606,124,41,no_iniciado,0,2026-04-17
607,124,42,en_progreso,20.63,2026-09-08
608,124,43,en_progreso,10,2026-09-09
609,125,50,en_progreso,10,2026-09-10
610,125,51,no_iniciado,0,2026-05-13
611,125,52,en_progreso,10,2026-09-07
612,125,53,en_progreso,10,2026-09-08
613,125,54,no_iniciado,0,2026-05-13
614,125,55,no_iniciado,0,2026-05-13
615,126,1,no_iniciado,0,2026-06-30
616,126,2,en_progreso,10,2026-09-09
617,126,3,no_iniciado,0,2026-06-30
618,126,4,abandonado,10,2026-09-09
619,127,5,en_progreso,10,2026-09-09
620,127,6,no_iniciado,0,2026-05-14
621,127,7,no_iniciado,0,2026-05-14
622,127,8,en_progreso,10,2026-09-08
623,128,9,no_iniciado,0,2026-04-17
624,128,10,no_iniciado,0,2026-04-17
625,128,11,en_progreso,10,2026-09-07
626,128,12,en_progreso,10,2026-09-07
627,129,56,completado,95,2026-09-09
628,129,57,no_iniciado,0,2026-06-26
629,129,58,en_progreso,10,2026-09-09
630,129,59,no_iniciado,0,2026-06-26
631,129,60,en_progreso,10,2026-09-08
632,130,5,en_progreso,32.47,2026-09-10
633,130,6,completado,95,2026-09-10
634,130,7,completado,95,2026-09-10
635,130,8,en_progreso,32.67,2026-09-09
636,131,50,no_iniciado,0,2026-05-16
637,131,51,en_progreso,29.07,2026-09-10
638,131,52,no_iniciado,0,2026-05-16
639,131,53,no_iniciado,0,2026-05-16
640,131,54,no_iniciado,0,2026-05-16
641,131,55,no_iniciado,0,2026-05-16
