id_modulo,id_curso,nombre,orden,descripcion,duracion_horas
38,9,Modulo 1: Automatizacion,1,Defensa semana otros sur partir productos ir compañía.,3
39,9,Modulo 2: Proyecto aplicado,2,Deben principales ii debido siendo buenos enero vez américa camino.,2
40,9,Modulo 3: Practica guiada,3,Creación permite propios otras importantes práctica entre donde diferencia condiciones vista sol.,2
41,9,Modulo 4: Proyecto aplicado,4,Casi personal acción sector otro hoy méxico hemos dar estilo sus fin dólares.,5
42,9,Modulo 5: Casos de estudio,5,Unos características especie ejemplo p acciones términos nuestro están cada grupo viaje somos.,2
43,9,Modulo 6: Practica guiada,6,Existencia sabía resto cabeza cierto pasado sabía i cuenta tengo.,6
44,10,Modulo 1: Practica guiada,1,Casa punto lugar mantener le palabra solo precio.,8
45,10,Modulo 2: Buenas practicas,2,Quien electoral él hijo región posibilidad papel dirección libre primera trata e uso.,5
46,10,Modulo 3: Buenas practicas,3,Internacional sectores libros pensar frente piel haya debía yo hecho cómo nunca.,3
47,10,Modulo 4: Casos de estudio,4,Comenzó ley encuentran juego derecho te tipo instituto hora hubo.,3
48,10,Modulo 5: Practica guiada,5,Época jefe veces pacientes toda amigos cuarto conocer pese manuel tales me muy.,8
49,10,Modulo 6: Automatizacion,6,Nombre fuera miguel secretario sin dicen alguien dónde manos centro cuestión camino miembros.,6
50,11,Modulo 1: Integracion con otras herramientas,1,Pasado diferentes actividad buena mejor podrá.,5
51,11,Modulo 2: Integracion con otras herramientas,2,Corazón oro hicieron momento acción cuales tuvo niño mujeres final.,5
52,11,Modulo 3: Proyecto aplicado,3,Mi deseo entrar base imposible rodríguez aspectos.,3
53,11,Modulo 4: Herramientas del entorno,4,Valores manera medio explicó niño hacerlo serie día tema cara san b desde.,6
54,11,Modulo 5: Buenas practicas,5,Comunidad contenido tomar aquellos quiero hija salud contenido principales.,2
55,11,Modulo 6: Introduccion y objetivos,6,Condiciones estoy habría muchos allá cada estamos doctor problema destino análisis.,2
56,12,Modulo 1: Herramientas del entorno,1,Además gran policía diversas mar condiciones nuevo.,8
57,12,Modulo 2: Evaluacion final,2,Militar calidad muy pues luz soy cara teatro hijos mil decía sea torno.,6
58,12,Modulo 3: Conceptos fundamentales,3,Podemos sociales cabo aire contrario hacía su mercado hacer.,5
59,12,Modulo 4: Evaluacion final,4,Experiencia europea baja crecimiento le hacía arriba nuestras riesgo común valores.,6
60,12,Modulo 5: Buenas practicas,5,Sigue pública valores juez tampoco informe número miguel i tener primeros capital barcelona.,6
